DSVectorSize,responseTime_ns
1,12045
1,10597
1,10500
1,10641
1,13225
1,11067
1,10801
1,10723
1,10840
1,18958
1,10815
1,18339
1,7427
1,2330
1,2290
1,7929
1,2339
1,2285
1,10480
1,10530
1,10461
1,10755
1,10533
1,10519
1,10513
1,10750
1,10617
1,10503
1,10483
1,10525
1,10471
1,10534
1,10516
1,10536
1,10752
1,10549
1,10546
1,10679
1,10475
1,10511
1,10473
1,10529
1,10635
1,10504
1,10545
1,10567
1,10570
1,10687
1,10513
1,10590
1,10460
1,10464
1,10622
1,127506
1,10724
1,14961
1,10352
1,10291
1,10499
1,10228
1,10222
1,10271
1,10288
1,10255
1,10319
1,10294
1,10266
1,10287
1,10300
1,63113
1,10318
1,10201
1,10227
1,10213
1,10548
1,10260
1,10215
1,10271
1,10597
1,10223
1,10245
1,10273
1,10446
1,10235
1,10188
1,10550
1,10307
1,10233
1,10236
1,26358
1,10381
1,10133
1,10171
1,10189
1,10155
1,10134
1,10204
1,10219
1,10221
1,9820
10,9959
10,9905
10,9827
10,9783
10,9793
10,9788
10,10213
10,9795
10,9799
10,9771
10,9790
10,9812
10,10846
10,9724
10,9746
10,9756
10,9739
10,10064
10,9749
10,9732
10,9776
10,9742
10,9882
10,9774
10,9729
10,9727
10,9777
10,9728
10,9784
10,9737
10,9809
10,9755
10,9754
10,10370
10,9774
10,24096
10,9908
10,9802
10,10973
10,9807
10,9929
10,9814
10,495932
10,9831
10,9842
10,9795
10,9764
10,9763
10,9815
10,10774
10,9788
10,9825
10,9771
10,9779
10,10039
10,9760
10,9779
10,9761
10,9774
10,9959
10,9875
10,9789
10,9781
10,9798
10,9816
10,10116
10,9866
10,9801
10,9796
10,9837
10,10275
10,9906
10,9892
10,9808
10,9857
10,9838
10,9886
10,9918
10,9792
10,9793
10,23697
10,10615
10,9839
10,9827
10,9922
10,9924
10,9945
10,9837
10,9900
10,9811
10,9841
10,9882
10,9990
10,9873
10,10037
10,9924
10,9875
10,10506
10,9827
10,9924
100,10336
100,10659
100,10488
100,26212
100,10337
100,10014
100,10010
100,10073
100,10169
100,9993
100,10617
100,10184
100,10004
100,10602
100,10108
100,10020
100,10105
100,10314
100,10153
100,10410
100,10150
100,10035
100,10163
100,10082
100,10056
100,15193
100,10135
100,10527
100,10141
100,11104
100,10101
100,10077
100,10092
100,10057
100,10718
100,10082
100,10358
100,10290
100,10425
100,10012
100,10235
100,10007
100,10185
100,10027
100,10313
100,10417
100,10034
100,11152
100,10199
100,10064
100,10457
100,10226
100,10054
100,10117
100,10218
100,10132
100,10152
100,10258
100,10146
100,10105
100,10354
100,22489681
100,2580
100,4707
100,7574
100,2524
100,2755
100,4364
100,2696
100,2521
100,19506
100,2937
100,2554
100,2528
100,2532
