DSVectorSize,responseTime_ns
1,2983
1,2288
1,2229
1,2207
1,2218
1,2767
1,2440
1,2211
1,2211
1,2198
1,4220
1,2199
1,9418
1,2226
1,2212
1,2293
1,2515
1,8115
1,2194
1,2431
1,2285
1,2310
1,2242
1,2209
1,2295
1,3360
1,7343
1,3009
1,2489
1,7221
1,2683
1,2602
1,2266
1,2468
1,2322
1,2229
1,2526
1,6474
1,2244
1,2227
1,6516
1,2217
1,2969
1,7646
1,2648
1,8712
1,2552
1,2883
1,2753
1,3266
1,2801
1,7132
1,7296
1,7771
1,26448
1,3099
1,2220
1,2211
1,2291
1,2215
1,2210
1,2375
1,2400
1,2676
1,4097
1,2239
1,2219
1,2211
1,2339
1,2638
1,2368
1,2199
1,2380
1,2453
1,5511
1,2213
1,2302
1,5289
1,2214
1,2424
1,2209
1,2220
1,2229
1,2354
1,2250
1,2406
1,2209
1,2236
1,4908
1,2202
1,5368
1,2209
1,5721
1,2218
1,2230
1,2369
1,2227
1,4838
1,2212
1,2433
10,2512
10,3942
10,2225
10,5135
10,2215
10,2292
10,2401
10,2208
10,2365
10,2464
10,5393
10,2438
10,2210
10,2352
10,2219
10,2218
10,2445
10,2429
10,2440
10,5607
10,2212
10,5719
10,2305
10,2215
10,2208
10,2418
10,2370
10,2437
10,5549
10,2204
10,2354
10,2308
10,2208
10,2285
10,2206
10,2227
10,2223
10,2212
10,3453
10,2214
10,3015
10,2218
10,5008
10,2229
10,2357
10,2215
10,2223
10,46588
10,2258
10,3007
10,2230
10,2229
10,2217
10,2232
10,2325
10,5419
10,2216
10,2261
10,2368
10,2223
10,2224
10,2315
10,4845
10,2212
10,2402
10,3662
10,2370
10,2420
10,5481
10,2220
10,5665
10,2217
10,2287
10,2370
10,17768
10,2482
10,5665
10,2209
10,5194
10,2211
10,2220
10,2802
10,2205
10,2211
10,2453
10,4817
10,2791
10,4841
10,2236
10,2360
10,2456
10,5180
10,2306
10,5101
10,2207
10,2205
10,2341
10,2299
10,2225
10,2447
100,2356
100,2432
100,5580
100,2224
100,5173
100,2195
100,5315
100,2223
100,2217
100,2354
100,2216
100,2225
100,2456
100,3196
100,2458
100,2391
100,2415
100,5440
100,2497
100,5042
100,2213
100,2215
100,2359
100,2202
100,2349
100,2227
100,2360
100,2215
100,2212
100,2728
100,4840
100,2222
100,2360
100,2468
100,5817
100,2483
100,3515
100,2221
100,5026
100,2238
100,6045
100,2214
100,2198
100,2381
100,2318
100,5912
100,3136
100,2891
100,2894
100,2775
100,8164
100,6689
100,2213
100,2384
100,2215
100,2207
100,2271
100,4892
100,2212
100,4795
100,2369
100,2453
100,2480
100,3985
100,2324
100,2210
100,4252
100,2218
100,2202
100,5127
100,2209
100,2313
100,2375
100,2210
100,2200
100,5828
100,2232
100,3019
100,5522
100,2204
100,2449
100,5624
100,2410
100,2482
100,5703
100,2212
100,2283
100,2363
100,2272
100,2314
100,2429
100,2225
100,2230
100,19810215
100,2366
100,2423
100,2453
100,5862
100,2368
100,5381
1000,2235
1000,2398
1000,2214
1000,2230
1000,2283
1000,4847
1000,2222
1000,2425
1000,2462
1000,5393
1000,2229
1000,5406
1000,2215
1000,2309
1000,2265
1000,2217
1000,2234
1000,2241
1000,2240
1000,3111
1000,2223
1000,2828
1000,2249
1000,2826
1000,2238
1000,2859
1000,2229
1000,2820
1000,2340
1000,5388
1000,2447
1000,2264
1000,2225
1000,2227
1000,2234
1000,2228
1000,2234
1000,5111
1000,2226
1000,2271
1000,2223
1000,2318
1000,2250
1000,2254
1000,2241
1000,5012
1000,2327
1000,2292
1000,2236
1000,2222
1000,2230
1000,2228
1000,2249
1000,3286
1000,2250
1000,2890
1000,2237
1000,3035
1000,2226
1000,3154
1000,2240
1000,2945
1000,2322
1000,2883
1000,2222
1000,2998
1000,2222
1000,3016
1000,2241
1000,2875
1000,2245
1000,2853
1000,2231
1000,2899
1000,2219
1000,3155
1000,2231
1000,5232
1000,2375
1000,2612
1000,2409
1000,2455
1000,5471
1000,2239
1000,2289
1000,5924
1000,2342
1000,2303
1000,2524
1000,5042
1000,2330
1000,5395
1000,2221
1000,2212
1000,2468
1000,2442
1000,5846
1000,2233
1000,2382
1000,4981
10000,2230
10000,5342
10000,2200
10000,2204
10000,5295
10000,2298
10000,2391
10000,2206
10000,2210
10000,2539
10000,2368
10000,2230
10000,2440
10000,2215
10000,2381
10000,2225
10000,2466
10000,2289
10000,2384
10000,2262
10000,2374
10000,2500
10000,2344
10000,2230
10000,2535
10000,3567
10000,2269
10000,5067
10000,2220
10000,2214
10000,5610
10000,2221
10000,2365
10000,2241
10000,2460
10000,2249
10000,2233
10000,2319
10000,2354
10000,2218
10000,2226
10000,2209
10000,2264
10000,2239
10000,2478
10000,17819
10000,2243
10000,2201
10000,2646
10000,2209
10000,2228
10000,2362
10000,2232
10000,2475
10000,2217
10000,2408
10000,2201
10000,3406
10000,2331
10000,2218
10000,5385
10000,2234
10000,2198
10000,2532
10000,2219
10000,2213
10000,6326
10000,2210
10000,2204
10000,2305
10000,2231
10000,2228
10000,2501
10000,3761
10000,2263
10000,2215
10000,2215
10000,2231
10000,2227
10000,2245
10000,2516
10000,5831
10000,2320
10000,2345
10000,2373
10000,2547
10000,5928
10000,2267
10000,2216
10000,5370
10000,2287
10000,2371
10000,2413
10000,2208
10000,2360
10000,2206
10000,2210
10000,5037
10000,2264
10000,5417
100000,2192
100000,2242
100000,5610
100000,2201
100000,2310
100000,2345
100000,2302
100000,2364
100000,2209
100000,2209
100000,2346
100000,2408
100000,6043
100000,10376
100000,3483
100000,3383
100000,7522
100000,7464
100000,3003
100000,6083
100000,2244
100000,2301
100000,2463
100000,2462
100000,2302
100000,2395
100000,2212
100000,2361
100000,2233
100000,2247
100000,2221
100000,2538
100000,2397
100000,2294
100000,5347
100000,2324
100000,2382
100000,2378
100000,2478
100000,5930
100000,2352
100000,2328
100000,5257
100000,2222
100000,2670
100000,5002
100000,2214
100000,5656
100000,5322
100000,2256
100000,5264
100000,2227
100000,2226
100000,5592
100000,2292
100000,2427
100000,2237
100000,2459
100000,2511
100000,2243
100000,2324
100000,2234
100000,2468
100000,2554
100000,2241
100000,2428
100000,2241
100000,2221
100000,2628
100000,2311
100000,2306
100000,2290
100000,2375
100000,2448
100000,5416
100000,2230
100000,2322
100000,3759
100000,2292
100000,5000
100000,2369
100000,2659
100000,5988
100000,2222
100000,2368
100000,2395
100000,2288
100000,2226
100000,2244
100000,2216
100000,2355
100000,2212
100000,2387
100000,2897
100000,5668
100000,2214
100000,2363
100000,3854
100000,2259
100000,5195
1000000,2237
1000000,2224
1000000,5807
1000000,2237
1000000,2281
1000000,2226
1000000,2447
1000000,2591
1000000,2221
1000000,2341
1000000,2347
1000000,2302
1000000,2304
1000000,2346
1000000,2380
1000000,2501
1000000,5915
1000000,2495
1000000,2302
1000000,2434
1000000,2231
1000000,5124
1000000,2214
1000000,2208
1000000,2995
1000000,2228
1000000,2221
1000000,6164
1000000,2234
1000000,2247
1000000,2264
1000000,2259
1000000,2216
1000000,2232
1000000,2314
1000000,2548
1000000,2369
1000000,2814
1000000,4928
1000000,2241
1000000,4908
1000000,2338
1000000,2514
1000000,5460
1000000,2454
1000000,2370
1000000,5396
1000000,2218
1000000,2203
1000000,5705
1000000,2318
1000000,2315
1000000,2401
1000000,2285
