DSVectorSize,responseTime_ns
1,143
1,60
1,60
1,60
1,61
1,60
1,59
1,58
1,62
1,60
1,61
1,63
1,62
1,63
1,63
1,60
1,61
1,59
1,62
1,60
1,60
1,60
1,59
1,60
1,61
1,60
1,60
1,58
1,60
1,59
1,60
1,61
1,60
1,59
1,60
1,60
1,60
1,59
1,60
1,61
1,59
1,60
1,60
1,60
1,60
1,59
1,60
1,60
1,60
1,62
1,61
1,59
1,61
1,59
1,60
1,60
1,60
1,60
1,61
1,59
1,60
1,59
1,60
1,59
1,62
1,59
1,61
1,59
1,59
1,60
1,61
1,60
1,59
1,59
1,58
1,60
1,60
1,59
1,59
1,60
1,61
1,59
1,60
1,60
1,59
1,60
1,60
1,61
1,59
1,61
1,59
1,61
1,60
1,59
1,60
1,60
1,60
1,67
1,60
1,62
10,60
10,61
10,61
10,62
10,64
10,63
10,63
10,62
10,63
10,61
10,65
10,63
10,62
10,63
10,64
10,63
10,62
10,63
10,63
10,62
10,62
10,59
10,60
10,61
10,58
10,60
10,60
10,60
10,60
10,60
10,60
10,59
10,60
10,60
10,60
10,60
10,60
10,61
10,61
10,60
10,59
10,59
10,67
10,61
10,59
10,60
10,60
10,60
10,59
10,60
10,59
10,59
10,60
10,60
10,60
10,59
10,60
10,58
10,59
10,60
10,62
10,60
10,58
10,60
10,59
10,59
10,60
10,59
10,59
10,60
10,59
10,61
10,59
10,60
10,59
10,60
10,59
10,59
10,61
10,60
10,62
10,60
10,59
10,61
10,61
10,60
10,62
10,67
10,62
10,61
10,60
10,61
10,60
10,60
10,59
10,60
10,61
10,60
10,61
10,59
100,60
100,60
100,59
100,60
100,59
100,59
100,61
100,59
100,60
100,61
100,60
100,63
100,60
100,60
100,59
100,60
100,60
100,59
100,60
100,60
100,59
100,61
100,60
100,60
100,60
100,60
100,59
100,59
100,60
100,60
100,60
100,60
100,61
100,61
100,59
100,60
100,61
100,59
100,59
100,60
100,60
100,59
100,58
100,60
100,60
100,59
100,61
100,59
100,60
100,60
100,60
100,62
100,59
100,57
100,60
100,59
100,60
100,60
100,60
100,60
100,59
100,60
100,60
100,60
100,62
100,59
100,60
100,61
100,59
100,61
100,60
100,61
100,60
100,61
100,61
100,59
100,60
100,60
100,137
100,60
100,61
100,63
100,59
100,60
100,60
100,59
100,60
100,60
100,61
100,60
100,61
100,62
100,59
100,60
100,60
100,60
100,59
100,60
100,60
100,60
1000,62
1000,62
1000,63
1000,64
1000,61
1000,62
1000,62
1000,63
1000,59
1000,88
1000,63
1000,63
1000,62
1000,62
1000,62
1000,63
1000,62
1000,62
1000,62
1000,60
1000,59
1000,61
1000,62
1000,63
1000,62
1000,62
1000,62
1000,62
1000,61
1000,63
1000,64
1000,62
1000,63
1000,62
1000,59
1000,63
1000,62
1000,63
1000,61
1000,62
1000,63
1000,63
1000,62
1000,62
1000,61
1000,64
1000,62
1000,61
1000,63
1000,63
1000,62
1000,62
1000,62
1000,62
1000,62
1000,63
1000,62
1000,62
1000,62
1000,61
1000,61
1000,61
1000,61
1000,63
1000,62
1000,63
1000,62
1000,62
1000,62
1000,60
1000,63
1000,62
1000,62
1000,63
1000,62
1000,63
1000,63
1000,64
1000,63
1000,61
1000,62
1000,63
1000,62
1000,62
1000,62
1000,63
1000,62
1000,62
1000,61
1000,62
1000,88
1000,63
1000,61
1000,62
1000,62
1000,61
1000,64
1000,62
1000,63
1000,62
10000,60
