DSVectorSize,responseTime_ns
1,118
1,52
1,52
1,53
1,55
1,54
1,52
1,54
1,52
1,53
1,53
1,55
1,53
1,53
1,54
1,52
1,53
1,54
1,53
1,54
1,55
1,53
1,54
1,52
1,54
1,54
1,52
1,53
1,54
1,55
1,53
1,53
1,53
1,54
1,53
1,54
1,54
1,52
1,52
1,53
1,54
1,55
1,53
1,53
1,53
1,54
1,53
1,53
1,52
1,53
1,54
1,54
1,55
1,54
1,54
1,55
1,54
1,53
1,54
1,53
1,54
1,54
1,53
1,55
1,53
1,54
1,52
1,53
1,53
1,53
1,54
1,349443
1,53
1,53
1,52
1,52
1,52
1,54
1,52
1,52
1,52
1,55
1,54
1,53
1,52
1,51
1,57
1,51
1,56
1,52
1,55
1,53
1,54
1,54
1,54
1,51
1,55
1,52
1,54
1,51
10,52
10,53
10,52
10,53
10,54
10,55
10,56
10,52
10,55
10,53
10,53
10,52
10,53
10,54
10,51
10,51
10,52
10,51
10,53
10,53
10,52
10,51
10,51
10,52
10,52
10,52
10,51
10,51
10,52
10,51
10,51
10,51
10,53
10,52
10,53
10,52
10,52
10,56
10,51
10,52
10,52
10,56
10,51
10,52
10,54
10,56
10,53
10,53
10,50
10,51
10,52
10,52
10,53
10,56
10,53
10,54
10,54
10,53
10,53
10,50
10,55
10,52
10,52
10,52
10,51
10,52
10,51
10,52
10,52
10,53
10,54
10,52
10,52
10,51
10,52
10,52
10,53
10,53
10,52
10,51
10,53
10,52
10,52
10,51
10,51
10,52
10,53
10,53
10,53
10,53
10,54
10,52
10,54
10,51
10,52
10,52
10,61
10,52
10,53
10,51
100,53
100,53
100,53
100,52
100,54
100,52
100,54
100,54
100,52
100,51
100,53
100,52
100,53
100,55
100,53
100,54
100,53
100,53
100,53
100,53
100,53
100,54
100,53
100,52
100,54
100,56
100,52
100,54
100,53
100,51
100,53
100,63
100,53
100,63
100,52
100,52
100,51
100,50
100,52
100,52
100,52
100,51
100,51
100,53
100,52
100,53
100,53
100,52
100,52
100,52
100,55
100,52
100,51
100,53
100,51
100,52
100,51
100,53
100,51
100,51
100,53
100,52
100,52
100,54
100,52
100,52
100,52
100,52
100,52
100,51
100,52
100,56
100,52
100,53
100,53
100,50
100,52
100,52
100,52
100,52
100,51
100,51
100,51
100,51
100,103
100,52
100,53
100,51
100,52
100,56
100,51
100,55
100,52
100,54
100,52
100,55
100,51
100,51
100,53
100,51
1000,64
1000,63
1000,53
1000,52
1000,53
1000,54
1000,53
1000,53
1000,54
1000,51
1000,53
1000,52
1000,53
1000,53
1000,54
1000,53
1000,53
1000,53
1000,53
1000,53
1000,53
1000,53
1000,53
1000,53
1000,53
1000,53
1000,54
1000,54
1000,54
1000,53
1000,53
1000,53
1000,53
1000,52
1000,53
1000,53
1000,53
1000,54
1000,53
1000,52
1000,53
1000,61
1000,52
1000,53
1000,54
1000,53
1000,52
1000,54
1000,54
1000,53
1000,54
1000,52
1000,53
1000,53
1000,52
1000,54
1000,54
1000,53
1000,52
1000,51
1000,53
1000,54
1000,53
1000,53
1000,52
1000,54
1000,53
1000,54
1000,54
1000,52
1000,53
1000,54
1000,53
1000,54
1000,53
1000,53
1000,53
1000,53
1000,52
1000,53
1000,53
1000,54
1000,52
1000,53
1000,53
1000,53
1000,54
1000,52
1000,54
1000,52
1000,52
1000,53
1000,52
1000,54
1000,53
1000,53
1000,53
1000,54
1000,53
1000,54
10000,58
10000,53
10000,54
10000,54
10000,53
10000,55
10000,62
10000,53
10000,54
10000,53
10000,53
10000,52
10000,59
10000,53
10000,54
10000,54
10000,53
10000,54
10000,52
10000,55
10000,53
10000,54
10000,52
10000,53
10000,54
10000,69
10000,54
10000,55
10000,53
10000,54
10000,52
10000,54
10000,54
10000,62
10000,53
10000,77
10000,83
10000,57
10000,53
10000,55
10000,52
10000,54
10000,65
10000,52
10000,54
10000,54
10000,53
10000,54
10000,53
10000,53
10000,53
10000,52
10000,53
10000,52
10000,54
10000,52
10000,53
10000,54
10000,55
10000,53
10000,54
10000,53
10000,54
10000,53
10000,61
10000,56
10000,53
10000,53
10000,68
10000,54
10000,54
10000,53
10000,54
10000,52
10000,53
10000,77
10000,53
10000,53
10000,54
10000,64
10000,54
10000,53
10000,70
10000,55
10000,54
10000,53
10000,53
10000,53
10000,55
10000,52
10000,52
10000,54
10000,53
10000,53
10000,53
10000,53
10000,54
10000,55
10000,57
10000,53
100000,55
100000,57
100000,53
100000,53
100000,54
100000,52
100000,54
100000,53
100000,53
100000,52
100000,52
100000,54
100000,54
100000,54
100000,53
100000,53
100000,53
100000,54
100000,53
100000,54
100000,84
100000,54
100000,53
100000,53
100000,54
100000,52
100000,54
100000,54
100000,54
100000,53
100000,54
100000,70
100000,91
100000,53
100000,56
100000,84
100000,54
100000,52
100000,54
100000,54
100000,53
100000,53
100000,52
100000,54
100000,53
100000,52
100000,55
100000,54
100000,53
100000,53
100000,55
100000,53
100000,54
100000,54
100000,53
100000,53
100000,54
100000,54
100000,55
100000,53
100000,53
100000,54
100000,54
100000,53
100000,52
100000,54
100000,52
100000,52
100000,53
100000,54
100000,54
100000,54
100000,90
100000,52
100000,52
100000,53
100000,53
100000,54
100000,54
100000,54
100000,55
100000,53
100000,54
100000,62
100000,53
100000,54
100000,53
100000,54
100000,88
100000,53
100000,53
100000,53
100000,57
100000,54
100000,53
100000,53
100000,54
100000,54
100000,55
100000,56
1000000,55
1000000,61
1000000,90
1000000,54
1000000,89
1000000,80
1000000,87
1000000,88
1000000,87
1000000,88
1000000,54
1000000,88
1000000,89
1000000,88
1000000,52
1000000,102
1000000,90
1000000,93
1000000,83
1000000,89
1000000,90
1000000,89
1000000,89
1000000,56
1000000,89
1000000,98
1000000,84
1000000,88
1000000,88
1000000,86
1000000,54
1000000,88
1000000,89
1000000,55
1000000,75
1000000,90
1000000,92
1000000,59
1000000,336
1000000,57
1000000,90
1000000,90
1000000,91
1000000,93
1000000,90
1000000,92
1000000,90
1000000,90
1000000,89
1000000,89
1000000,90
1000000,89
1000000,91
1000000,53
1000000,91
1000000,89
1000000,92
1000000,90
1000000,52
1000000,93
1000000,87
1000000,89
1000000,87
1000000,56
1000000,90
1000000,87
1000000,87
1000000,81
1000000,90
1000000,90
1000000,91
1000000,91
1000000,90
1000000,94
1000000,62
1000000,90
1000000,90
1000000,90
1000000,98
1000000,90
1000000,70
1000000,53
1000000,96
1000000,54
1000000,91
1000000,90
1000000,90
1000000,91
1000000,88
1000000,91
1000000,89
1000000,77
1000000,91
1000000,58
1000000,90
1000000,97
1000000,89
1000000,91
1000000,90
1000000,54
10000000,112
10000000,58
10000000,58
10000000,60
10000000,58
10000000,56
10000000,59
10000000,58
10000000,57
10000000,57
10000000,59
10000000,62
10000000,56
10000000,56
10000000,57
10000000,56
10000000,57
10000000,57
10000000,59
10000000,58
10000000,57
10000000,58
10000000,57
10000000,58
10000000,83
10000000,58
10000000,59
10000000,57
10000000,63
10000000,57
10000000,58
10000000,60
10000000,81
10000000,62
10000000,58
10000000,56
10000000,59
10000000,95
10000000,57
10000000,58
10000000,183
10000000,59
10000000,62
10000000,58
10000000,58
10000000,62
10000000,56
10000000,63
10000000,58
10000000,57
10000000,55
10000000,66
10000000,57
10000000,60
10000000,61
10000000,62
10000000,58
10000000,56
10000000,58
10000000,84
10000000,85
10000000,66
10000000,78
10000000,58
10000000,78
10000000,104
10000000,116
10000000,95
10000000,66
10000000,71
10000000,124
10000000,102
10000000,89
10000000,87
10000000,58
10000000,60
10000000,59
10000000,85
10000000,59
10000000,58
10000000,77
10000000,123
10000000,57
10000000,57
10000000,56
10000000,57
10000000,140
10000000,58
10000000,56
10000000,57
10000000,59
10000000,57
10000000,57
10000000,87
10000000,58
10000000,121
10000000,95
10000000,58
10000000,57
10000000,141
