DSVectorSize,responseTime_ns
1,139
1,72
1,67
1,69
1,69
1,70
1,69
1,68
1,69
1,70
1,69
1,69
1,68
1,70
1,69
1,67
1,68
1,69
1,69
1,69
1,68
1,69
1,68
1,69
1,69
1,70
1,70
1,68
1,69
1,68
1,68
1,68
1,69
1,68
1,68
1,68
1,70
1,69
1,70
1,69
1,69
1,69
1,69
1,68
1,69
1,69
1,69
1,68
1,69
1,68
1,69
1,67
1,70
1,70
1,67
1,69
1,69
1,69
1,68
1,72
1,68
1,69
1,68
1,72
1,69
1,68
1,68
1,68
1,67
1,69
1,68
1,69
1,68
1,69
1,67
1,69
1,69
1,71
1,67
1,68
1,68
1,69
1,69
1,69
1,70
1,70
1,67
1,67
1,71
1,68
1,69
1,68
1,69
1,69
1,69
1,68
1,69
1,69
1,69
1,70
10,69
10,69
10,69
10,68
10,70
10,69
10,69
10,67
10,70
10,70
10,69
10,68
10,68
10,69
10,70
10,71
10,68
10,68
10,68
10,68
10,69
10,68
10,68
10,70
10,70
10,68
10,69
10,68
10,67
10,72
10,70
10,69
10,69
10,70
10,68
10,69
10,70
10,69
10,69
10,68
10,69
10,70
10,68
10,68
10,69
10,67
10,68
10,70
10,70
10,69
10,68
10,69
10,69
10,69
10,69
10,68
10,69
10,68
10,67
10,70
10,69
10,69
10,67
10,68
10,69
10,69
10,69
10,69
10,69
10,69
10,67
10,70
10,68
10,69
10,68
10,68
10,69
10,67
10,69
10,69
10,67
10,69
10,68
10,68
10,70
10,69
10,68
10,68
10,70
10,67
10,70
10,67
10,69
10,68
10,68
10,69
10,68
10,70
10,67
10,68
100,69
100,68
100,69
100,69
100,67
100,68
100,68
100,69
100,71
100,69
100,69
100,69
100,71
100,69
100,69
100,68
100,69
100,69
100,69
100,69
100,68
100,68
100,67
100,69
100,69
100,68
100,69
100,68
100,69
100,67
100,69
100,69
100,69
100,69
100,69
100,68
100,68
100,69
100,69
100,71
100,68
100,66
100,69
100,68
100,69
100,68
100,67
100,67
